Final adopted property tax rates by county and tax area,,
"Taken from Utah State Tax Commission, Property Tax Division, ""2025 Tax Rates by Tax Area""",,
https://files.tax.utah.gov/propertytax/tax-rates/area-rates/taxarearates2025.pdf,,
,,
cnty_name,area_num,rate_final
Utah,110-0015,0.010019
Utah,110-0016,0.010019
Utah,112-0000,0.010324
Utah,113-0000,0.025019
Utah,120-0000,0.009976
Utah,120-0002,0.00965
Utah,125-0000,0.009756
Utah,125-0001,0.009756
Utah,125-0002,0.010082
Utah,125-0003,0.009756
Utah,130-0000,0.009725
Utah,130-0001,0.009725
Utah,130-9902,0.009725
Utah,131-0000,0.010011
Utah,131-0001,0.010011
Utah,140-0000,0.010102
Utah,150-0000,0.009632
Utah,150-0003,0.009632
Utah,150-9700,0.009632
Utah,150-9702,0.009632
Utah,151-0000,0.009918
Utah,151-0001,0.009918
Utah,151-9701,0.009918
Utah,151-9903,0.009632
Utah,155-0000,0.012029
Utah,160-0000,0.010044
Utah,160-0001,0.010044
Utah,165-0000,0.009824
Utah,170-0000,0.009945
Utah,179-0000,0.009858
Utah,180-0000,0.00979
Utah,181-0000,0.009666
Utah,182-0000,0.011739
Utah,190-0000,0.010055
Utah,190-0001,0.010055
Utah,200-0000,0.009595
Utah,210-0000,0.009603
Utah,500-0000,0.025019
Utah,501-0000,0.019945
Utah,502-0000,0.013445
Utah,503-0000,0.009858
Utah,504-0000,0.00979
Utah,505-0000,0.01379
Utah,506-0000,0.012721
Utah,507-0000,0.01379
Utah,508-0000,0.00979
Utah,509-0000,0.01279
Utah,510-0000,0.013858
Wasatch,001-0000,0.009547
Wasatch,002-0000,0.008563
Wasatch,003-0000,0.009316
Wasatch,004-0000,0.009215
Wasatch,005-0000,0.00953
Wasatch,006-0000,0.008575
Wasatch,007-0000,0.009361
Wasatch,008-0000,0.010512
Wasatch,009-0000,0.009283
Wasatch,010-0000,0.010727
Wasatch,011-0000,0.008844
Wasatch,012-0000,0.008546
Wasatch,013-0000,0.009316
Wasatch,014-0000,0.008546
Wasatch,015-0000,0.008546
Wasatch,016-0000,0.008546
Wasatch,017-0000,0.008844
Wasatch,018-0000,0.008546
Wasatch,019-0000,0.008546
Wasatch,020-0000,0.009171
Wasatch,021-0000,0.009171
Wasatch,022-0000,0.009361
Wasatch,023-0000,0.008546
Wasatch,024-0000,0.009361
Wasatch,025-0000,0.009171
Wasatch,026-0000,0.008546
Wasatch,028-0000,0.010554
Wasatch,029-0000,0.010907
Wasatch,030-0000,0.008546
Wasatch,031-0000,0.028546
Wasatch,032-0000,0.008546
Wasatch,033-0000,0.009171
Wasatch,034-0000,0.009316
Wasatch,035-0000,0.009316
Wasatch,036-0000,0.014316
Wasatch,037-0000,0.014316
Wasatch,038-0000,0.010907
Wasatch,039-0000,0.008546
Wasatch,040-0000,0.028546
Wasatch,041-0000,0.008546
Wasatch,042-0000,0.008546
Wasatch,043-0000,0.008546
Wasatch,044-0000,0.009316
Wasatch,045-0000,0.009316
Wasatch,046-0000,0.008546
Wasatch,046-0001,0.008546
Wasatch,047-0000,0.008546
Washington,001-0000,0.006943
Washington,002-0000,0.006941
Washington,003-0000,0.007642
Washington,003-0001,0.007642
Washington,003-0002,0.007642
Washington,004-0000,0.007004
Washington,005-0000,0.007703
Washington,006-0000,0.007244
Washington,006-0001,0.007244
Washington,007-0000,0.006904
Washington,008-0000,0.006584
Washington,008-0001,0.006584
Washington,008-5070,0.006584
Washington,008-5071,0.006584
Washington,008-9900,0.006584
Washington,009-0000,0.006742
Washington,010-0000,0.006991
Washington,011-0000,0.007788
Washington,011-0001,0.007788
Washington,012-0000,0.007248
Washington,013-0000,0.006577
Washington,013-0001,0.006577
Washington,015-0000,0.00583
Washington,015-0001,0.00583
Washington,015-0003,0.00583
Washington,015-0004,0.00583
Washington,018-0000,0.008001
Washington,022-0000,0.00583
Washington,029-0000,0.007642
Washington,034-0000,0.006104
Washington,035-0000,0.00583
Washington,038-0000,0.006275
Washington,041-0000,0.007598
Washington,041-0001,0.007598
Washington,041-5080,0.007598
Washington,041-5081,0.007598
Washington,045-0000,0.006652
Washington,047-0000,0.006826
Washington,047-0001,0.006826
Washington,047-0002,0.006826
Washington,047-0003,0.006826
Washington,048-0000,0.006141
Washington,049-0000,0.00583
Washington,050-0000,0.006584
Washington,051-0000,0.006584
Washington,052-0000,0.006584
Washington,053-0000,0.00617
Washington,054-0000,0.013777
Washington,055-0000,0.011788
Washington,056-0000,0.007788
Washington,057-0000,0.007788
Washington,058-0000,0.007788
Washington,059-0000,0.007788
Washington,060-0000,0.007788
Washington,061-0000,0.015652
Washington,062-0000,0.006652
Washington,063-0000,0.006652
Washington,064-0000,0.010392
Washington,065-0000,0.017004
Washington,066-0000,0.012642
Washington,068-0000,0.007642
Washington,069-0000,0.007642
Washington,070-0000,0.007642
Washington,071-0000,0.007642
Washington,072-0000,0.007642
Washington,073-0000,0.007642
Washington,074-0000,0.010577
Washington,075-0000,0.006584
Washington,076-0000,0.006584
Washington,077-0000,0.006577
Washington,078-0000,0.007788
Washington,079-0000,0.007788
Wayne,001-0000,0.005648
Wayne,002-0000,0.005647
Wayne,003-0000,0.005711
Wayne,004-0000,0.005662
Wayne,005-0000,0.00553
Wayne,005-9500,0.00553
Wayne,006-0000,0.00553
Wayne,007-0000,0.005905
Weber,001-0000,0.009604
Weber,003-0000,0.010144
Weber,005-0000,0.010762
Weber,006-0000,0.010225
Weber,007-0000,0.010289
Weber,010-0000,0.011302
Weber,011-0000,0.010765
Weber,012-0000,0.011677
Weber,014-0000,0.012439
Weber,016-0000,0.009712
Weber,017-0000,0.010252
Weber,019-0000,0.009752
Weber,020-0000,0.01164
Weber,021-0000,0.008746
Weber,023-0000,0.010107
Weber,024-0000,0.010532
Weber,025-0000,0.012402
Weber,026-0000,0.010279
Weber,027-0000,0.01132
Weber,027-9900,0.01132
Weber,028-0000,0.009661
Weber,030-0000,0.009691
Weber,031-0000,0.009885
Weber,032-0000,0.009691
Weber,035-0000,0.010018
Weber,036-0000,0.009644
Weber,038-0000,0.009931
Weber,039-0000,0.010059
Weber,040-0000,0.010263
Weber,041-0000,0.010307
Weber,043-0000,0.011862
Weber,044-0000,0.009607
Weber,045-0000,0.010188
Weber,050-0000,0.01078
Weber,053-0000,0.009658
Weber,054-0000,0.009935
Weber,055-0000,0.009946
Weber,056-0000,0.00984
Weber,057-0000,0.009825
Weber,058-0000,0.009567
Weber,059-0000,0.0095
Weber,062-0000,0.011148
Weber,063-0000,0.010728
Weber,064-0000,0.010873
Weber,065-0000,0.01091
Weber,066-0000,0.011265
Weber,075-0000,0.011688
Weber,079-0000,0.011495
Weber,083-0000,0.010275
Weber,086-0000,0.010527
Weber,088-0000,0.010425
Weber,089-0000,0.010314
Weber,090-0000,0.009843
Weber,093-0000,0.012402
Weber,108-0000,0.010029
Weber,109-0000,0.010457
Weber,126-0000,0.009661
Weber,130-0000,0.010029
Weber,145-0000,0.01042
Weber,158-0000,0.010103
Weber,159-0000,0.010475
Weber,186-0000,0.010307
Weber,188-0000,0.010205
Weber,190-0000,0.010205
Weber,200-0000,0.009887
Weber,203-0000,0.009661
Weber,206-0000,0.009992
Weber,215-0000,0.010186
Weber,219-0000,0.009644
Weber,221-0000,0.009628
Weber,223-0000,0.009644
Weber,227-0000,0.009876
Weber,231-0000,0.009628
Weber,239-0000,0.010093
Weber,242-0000,0.010452
Weber,243-0000,0.010408
Weber,246-0000,0.012402
Weber,251-0000,0.012402
Weber,252-0000,0.012402
Weber,253-0000,0.010532
Weber,254-0000,0.010307
Weber,255-0000,0.010532
Weber,272-0000,0.010307
Weber,277-0000,0.010093
Weber,278-0000,0.010142
Weber,280-0000,0.010039
Weber,281-0000,0.009948
Weber,283-0000,0.010186
Weber,288-0000,0.010093
Weber,291-0000,0.009948
Weber,292-0000,0.009948
Weber,296-0000,0.008746
Weber,297-0000,0.012402
Weber,298-0000,0.01132
Weber,299-0000,0.010486
Weber,300-0000,0.010279
Weber,302-0000,0.00983
Weber,302-9701,0.00983
Weber,303-0000,0.010019
Weber,307-0000,0.009775
Weber,313-0000,0.010501
Weber,314-0000,0.010501
Weber,323-0000,0.009948
Weber,324-0000,0.010142
Weber,344-0000,0.009735
Weber,345-0000,0.009929
Weber,347-0000,0.010249
Weber,348-0000,0.010307
Weber,352-0000,0.009992
Weber,353-0000,0.009987
Weber,361-0000,0.009553
Weber,362-0000,0.010093
Weber,363-0000,0.009593
Weber,369-0000,0.010457
Weber,370-0000,0.009922
Weber,371-0000,0.009966
Weber,373-0000,0.011532
Weber,374-0000,0.009859
Weber,376-0000,0.010425
Weber,377-0000,0.010198
Weber,379-0000,0.009782
Weber,380-0000,0.009691
Weber,383-0000,0.010307
Weber,384-0000,0.010307
Weber,386-0000,0.010307
Weber,389-0000,0.00994
Weber,389-9702,0.00994
Weber,390-0000,0.012402
Weber,391-0000,0.010483
Weber,395-0000,0.010274
Weber,397-0000,0.010231
Weber,399-0000,0.010452
Weber,400-0000,0.009661
Weber,404-0000,0.010469
Weber,406-0000,0.012402
Weber,408-0000,0.009553
Weber,409-0000,0.010093
Weber,411-0000,0.009644
Weber,413-0000,0.010279
Weber,418-0000,0.010425
Weber,419-0000,0.010279
Weber,420-0000,0.010532
Weber,421-0000,0.009499
Weber,422-0000,0.010279
Weber,426-0000,0.01277
Weber,427-0000,0.010225
Weber,430-0000,0.01091
Weber,432-0000,0.012402
Weber,433-0000,0.011302
Weber,434-0000,0.008746
Weber,435-0000,0.008601
Weber,436-0000,0.011532
Weber,438-0000,0.009946
Weber,439-0000,0.010501
Weber,440-0000,0.011677
Weber,444-0000,0.008856
Weber,445-0000,0.008856
Weber,446-0000,0.008667
Weber,447-0000,0.009286
Weber,448-0000,0.010765
Weber,449-0000,0.01091
Weber,450-0000,0.011447
Weber,451-0000,0.011256
Weber,452-0000,0.008706
Weber,453-0000,0.010873
Weber,454-0000,0.010231
Weber,457-0000,0.011401
Weber,458-0000,0.009772
Weber,459-0000,0.010312
Weber,460-0000,0.010457
Weber,461-0000,0.010725
Weber,462-0000,0.008812
Weber,463-0000,0.009782
Weber,464-0000,0.009879
Weber,465-0000,0.009992
Weber,466-0000,0.009992
Weber,467-0000,0.010142
Weber,469-0000,0.010307
Weber,470-0000,0.009286
Weber,471-0000,0.010292
Weber,472-0000,0.009246
Weber,473-0000,0.009246
Weber,474-0000,0.010133
Weber,475-0000,0.009885
Weber,476-0000,0.009885
Weber,477-0000,0.009929
Weber,478-0000,0.010873
Weber,479-0000,0.01046
Weber,481-0000,0.01132
Weber,482-0000,0.012402
Weber,486-0000,0.012402
Weber,488-0000,0.009661
Weber,489-0000,0.009628
Weber,490-0000,0.009843
Weber,491-0000,0.01049
Weber,492-0000,0.012402
Weber,494-0000,0.009408
Weber,495-0000,0.010093
Weber,496-0000,0.012402
Weber,498-0000,0.012402
Weber,500-0000,0.01091
Weber,501-0000,0.01042
Weber,503-0000,0.011302
Weber,504-0000,0.011302
Weber,505-0000,0.011302
Weber,506-0000,0.010279
Weber,507-0000,0.010279
Weber,508-0000,0.010279
Weber,509-0000,0.010093
Weber,510-0000,0.010501
Weber,511-0000,0.009879
Weber,512-0000,0.009919
Weber,513-0000,0.009734
Weber,514-0000,0.010365
Weber,515-0000,0.009774
Weber,516-0000,0.009825
Weber,517-0000,0.009734
Weber,518-0000,0.01132
Weber,519-0000,0.009575
Weber,520-0000,0.009628
Weber,521-0000,0.012402
Weber,522-0000,0.012402
Weber,524-0000,0.010322
Weber,525-0000,0.012402
Weber,529-0000,0.009673
Weber,529-9703,0.009673
Weber,530-0000,0.009658
Weber,531-0000,0.009862
Weber,532-0000,0.010206
Weber,533-0000,0.009666
Weber,534-0000,0.010307
Weber,535-0000,0.010307
Weber,536-0000,0.010307
Weber,537-0000,0.010307
Weber,538-0000,0.010322
Weber,539-0000,0.009575
Weber,540-0000,0.01132
Weber,541-0000,0.010483
Weber,542-0000,0.010457
Weber,543-0000,0.010275
Weber,544-0000,0.010275
Weber,545-0000,0.010242
Weber,546-0000,0.010457
Weber,547-0000,0.010242
Weber,548-0000,0.01049
Weber,549-0000,0.010059
Weber,550-0000,0.010532
Weber,551-0000,0.011447
Weber,552-0000,0.011677
Weber,553-0000,0.01164
Weber,554-0000,0.010115
Weber,555-0000,0.012402
Weber,556-0000,0.009553
Weber,557-0000,0.010093
Weber,558-0000,0.009628
Weber,559-0000,0.00972
Weber,560-0000,0.009575
Weber,561-0000,0.010419
Weber,562-0000,0.009628
Weber,563-0000,0.009628
Weber,564-0000,0.009628
Weber,565-9700,0.010402
Weber,566-0000,0.010307
Weber,567-9704,0.010559
Weber,568-0000,0.010093
Weber,569-0000,0.012402
Weber,570-0000,0.010279
Weber,571-0000,0.010107
Weber,572-0000,0.010307
Weber,573-0000,0.012182
Weber,574-0000,0.011256
Weber,575-0000,0.01026
Weber,576-0000,0.010115
Weber,577-0000,0.010559
Weber,578-0000,0.010559
Weber,579-0000,0.010559
Weber,581-0000,0.011094
Weber,582-0000,0.010252
Weber,583-0000,0.010323
Weber,584-0000,0.008746
Weber,585-0000,0.010765
Weber,586-0000,0.009825
