county_id,county_name,cnty_txbl_val,cnty_calculated_levy,schl_txbl_val,schl_calculated_levy,city_txbl_val,city_calculated_levy,spec_txbl_val,spec_calculated_levy,tot_txbl_val,tot_calculated_levy,avg_eff_prop_tax_rate,avg_eff_prop_tax_rate_pct
073,Falls,1579864108.0,12073805.787689,1278611102.0,18257108.0,412911092.0,2874444.0,2697464554.0,2662009.0,2697464554.0,35867366.787689,0.013296696238140447,1.3296696238140446
074,Fannin,5374767543.0,18828401.92924,4051373402.0,40032524.0,1633774821.0,8944145.0,19556345.0,195563.0,5374767543.0,68000633.92924,0.012651827894920368,1.2651827894920369
075,Fayette,6156362068.0,25231234.069445,4798455335.0,37354736.0,1416204141.0,2562759.0,8094769100.0,948130.0,8094769100.0,66096859.069445,0.008165379179184369,0.8165379179184369
076,Fisher,841736883.0,4666244.411902,802050168.0,8264437.0,79074210.0,412385.0,1842990856.0,2316945.0,1842990856.0,15660011.411902,0.008497064085217576,0.8497064085217576
077,Floyd,658450663.0,4688827.0,600781058.0,7254814.0,136026735.0,509683.0,1642479845.0,2500729.0,1642479845.0,14954053.0,0.009104557992308271,0.9104557992308271
078,Foard,277447240.0,2302811.86,306963545.0,3008670.0,64227354.0,685258.0,750612310.0,978766.0,750612310.0,6975505.859999999,0.009293087479473924,0.9293087479473925
079,Fort Bend,129103312532.0,1168424410.97624,113660687485.0,1243897160.0,52248191131.0,214819041.0,361569878033.0,361407496.0,361569878033.0,2988548107.97624,0.00826547865169089,0.8265478651690891
080,Franklin,2485267902.0,9042895.588025,2187955429.0,20030272.0,295891976.0,1708962.0,2673346502.0,336521.0,2673346502.0,31118650.588025,0.011640335648500607,1.1640335648500608
081,Freestone,3834204877.0,12787073.0,3335192022.0,29020417.0,648002792.0,2783176.0,3100092068.0,3329587.0,3834204877.0,47920253.0,0.01249809400834477,1.2498094008344771
082,Frio,2927014641.0,12966675.0,2796440783.0,26775867.0,588979055.0,5035459.0,10194889083.0,1165370.0,10194889083.0,45943371.0,0.004506510137183412,0.4506510137183412
083,Gaines,4745605900.0,24846033.915608,4429011800.0,35984181.0,688509523.0,4016276.0,14286326660.0,24444203.0,14286326660.0,89290693.915608,0.006250080656885106,0.6250080656885106
084,Galveston,54667184877.0,176389139.0,46172466033.0,461391326.0,48859960251.0,199532835.0,81814994878.0,113456947.0,81814994878.0,950770247.0,0.01162097789552831,1.162097789552831
